_id,x,y,z,timestamp
67d6858c8f4f34655f851db6,-0.06,-0.43,0.12,1742112140.0675879
67d6858c8f4f34655f851db7,-0.12,-0.37,0.12,1742112140.6651227
67d6858d8f4f34655f851db8,-0.06,-0.37,0.18,1742112141.17596
67d6858d8f4f34655f851db9,0,-0.37,0.18,1742112141.5853655
67d6858e8f4f34655f851dba,-0.06,-0.37,0.18,1742112142.088581
67d6858f8f4f34655f851dbb,-0.06,-0.37,0.18,1742112143.1227612
67d6858f8f4f34655f851dbc,0,-0.43,0.18,1742112143.43339
67d6858f8f4f34655f851dbd,0,-0.37,0.18,1742112143.6561103
67d685908f4f34655f851dbe,0,-0.43,0.18,1742112144.1452842
67d685908f4f34655f851dbf,-0.06,-0.43,0.18,1742112144.6582017
67d685918f4f34655f851dc0,0,-0.43,0.18,1742112145.1709259
67d685918f4f34655f851dc1,0,-0.37,0.18,1742112145.6823099
67d685928f4f34655f851dc2,0,-0.49,0.18,1742112146.194937
67d685928f4f34655f851dc3,0,-0.43,0.12,1742112146.8086154
67d685938f4f34655f851dc4,0,-0.37,0.18,1742112147.219637
67d685938f4f34655f851dc5,0,-0.37,0.12,1742112147.7300403
67d685948f4f34655f851dc6,-0.06,-0.37,0.18,1742112148.150564
67d685948f4f34655f851dc7,-0.06,-0.49,0.12,1742112148.652043
67d685958f4f34655f851dc8,0,-0.37,0.18,1742112149.1631784
67d685958f4f34655f851dc9,-0.06,-0.37,0.12,1742112149.675473
67d685968f4f34655f851dca,-0.06,-0.37,0.12,1742112150.1880598
67d685968f4f34655f851dcb,-0.06,-0.43,0.12,1742112150.6990638
67d685978f4f34655f851dcc,0,-0.37,0.18,1742112151.2108254
67d685978f4f34655f851dcd,-0.06,-0.37,0.12,1742112151.7236269
67d685988f4f34655f851dce,-0.06,-0.37,0.12,1742112152.338123
67d685988f4f34655f851dcf,-0.06,-0.43,0.12,1742112152.7480114
67d685998f4f34655f851dd0,0,-0.43,0.18,1742112153.2601533
67d685998f4f34655f851dd1,0,-0.43,0.12,1742112153.7784667
67d6859a8f4f34655f851dd2,0,-0.43,0.12,1742112154.2068822
67d6859a8f4f34655f851dd3,-0.06,-0.43,0.18,1742112154.8007827
67d6859b8f4f34655f851dd4,-0.06,-0.43,0.18,1742112155.3078282
67d6859b8f4f34655f851dd5,-0.06,-0.43,0.18,1742112155.722853
67d6859c8f4f34655f851dd6,0,-0.43,0.18,1742112156.2287292
67d6859c8f4f34655f851dd7,-0.06,-0.37,0.18,1742112156.7337976
67d6859d8f4f34655f851dd8,-0.06,-0.43,0.18,1742112157.2527099
67d6859d8f4f34655f851dd9,-0.06,-0.43,0.12,1742112157.765461
67d6859e8f4f34655f851dda,0,-0.37,0.18,1742112158.78872
67d6859f8f4f34655f851ddb,-0.06,-0.43,0.12,1742112159.0968487
67d6859f8f4f34655f851ddc,-0.06,-0.37,0.18,1742112159.323809
67d6859f8f4f34655f851ddd,0,-0.43,0.18,1742112159.8196542
67d685a08f4f34655f851dde,-0.06,-0.37,0.18,1742112160.3247933
67d685a08f4f34655f851ddf,-0.06,-0.43,0.06,1742112160.840399
67d685a18f4f34655f851de0,0,-0.43,0.18,1742112161.3492985
67d685a18f4f34655f851de1,-0.06,-0.43,0.18,1742112161.865684
67d685a28f4f34655f851de2,-0.06,-0.43,0.18,1742112162.3744931
67d685a28f4f34655f851de3,0,-0.37,0.18,1742112162.7927222
67d685a38f4f34655f851de4,0,-0.43,0.18,1742112163.3971894
67d685a38f4f34655f851de5,0,-0.37,0.18,1742112163.8072119
67d685a48f4f34655f851de6,0,-0.43,0.18,1742112164.318373
67d685a48f4f34655f851de7,-0.06,-0.43,0.12,1742112164.8304262
67d685a58f4f34655f851de8,-0.06,-0.31,0.18,1742112165.3170795
67d685a58f4f34655f851de9,-0.06,-0.37,0.18,1742112165.8603845
67d685a68f4f34655f851dea,0,-0.43,0.12,1742112166.366717
67d685a68f4f34655f851deb,0,-0.37,0.18,1742112166.8779886
