Timestamp,Value,Type
4:12:11 pm.994,"Distance: 211.11 cm\r\n",received
4:12:14 pm.40,"Distance: 210.65 cm\r\n",received
4:12:16 pm.70,"Distance: 210.54 cm\r\n",received
4:12:18 pm.116,"Distance: 212.43 cm\r\n",received
4:12:20 pm.206,"Distance: 210.61 cm\r\n",received
4:12:22 pm.192,"Distance: 210.29 cm\r\n",received
4:12:24 pm.218,"Distance: 211.16 cm\r\n",received
4:12:26 pm.271,"Distance: 211.04 cm\r\n",received
4:12:28 pm.387,"Distance: 210.70 cm\r\n",received
4:12:30 pm.455,"Distance: 211.07 cm\r\n",received
4:12:32 pm.488,"Distance: 210.71 cm\r\n",received
4:12:34 pm.565,"Distance: 211.05 cm\r\n",received
4:12:36 pm.471,"Distance: 211.02 cm\r\n",received
4:12:38 pm.510,"Distance: 211.07 cm\r\n",received
4:12:40 pm.560,"Distance: 210.95 cm\r\n",received
4:12:42 pm.644,"Distance: 210.51 cm\r\n",received
4:12:44 pm.637,"Distance: 212.30 cm\r\n",received
4:12:46 pm.720,"Distance: 211.04 cm\r\n",received
4:12:48 pm.720,"Distance: 211.82 cm\r\n",received
4:12:50 pm.745,"Distance: 210.60 cm\r\n",received
4:12:52 pm.796,"Distance: 211.45 cm\r\n",received
4:12:54 pm.843,"Distance: 210.56 cm\r\n",received
4:12:56 pm.878,"Distance: 211.51 cm\r\n",received
4:12:58 pm.918,"Distance: 211.55 cm\r\n",received
4:13:00 pm.949,"Distance: 210.12 cm\r\n",received
4:13:02 pm.997,"Distance: 211.07 cm\r\n",received
4:13:05 pm.32,"Distance: 212.40 cm\r\n",received
4:13:07 pm.79,"Distance: 210.58 cm\r\n",received
4:13:09 pm.169,"Distance: 210.97 cm\r\n",received
4:13:11 pm.159,"Distance: 210.66 cm\r\n",received
4:13:13 pm.251,"Distance: 211.11 cm\r\n",received
4:13:15 pm.244,"Distance: 211.94 cm\r\n",received
4:13:17 pm.289,"Distance: 210.66 cm\r\n",received
4:13:19 pm.464,"Distance: 210.71 cm\r\n",received
4:13:21 pm.360,"Distance: 211.53 cm\r\n",received
4:13:23 pm.407,"Distance: 211.40 cm\r\n",received
4:13:25 pm.448,"Distance: 211.02 cm\r\n",received
4:13:27 pm.488,"Distance: 211.11 cm\r\n",received
4:13:29 pm.580,"Distance: 210.63 cm\r\n",received
4:13:31 pm.708,"Distance: 211.46 cm\r\n",received
